employee_id,name,position,department,manager,hire_date,pto_balance,next_review_date,enrolled_benefits
EMP89545,Matthew Harris,Accountant,Finance,Paul Roberts,2019-04-23,18.7,2025-04-23,"Premium Health Plan, Premium Dental, Basic Vision, 401(k) - 5%"
EMP18852,Ashley Hill,Planning Specialist,Community Projects,None,2024-02-20,21.8,2026-02-20,"Basic Health Plan, Premium Dental, 401(k) - 6%"
EMP97360,Joshua Young,Administrative Assistant,Administration,None,2015-07-08,22.6,2025-07-08,"Premium Health Plan, Premium Dental, Basic Vision"
EMP21519,Ashley Wilson,IT Specialist,Information Technology,None,2025-03-29,17.2,2026-03-29,"Premium Health Plan, Premium Dental, Basic Vision, 401(k) - 6%"
EMP33387,Barbara King,Project Coordinator,Community Projects,None,2021-04-14,22.5,2026-04-14,"Premium Health Plan, Basic Dental, 401(k) - 10%"
EMP81467,Michael Gonzalez,Maintenance Worker,Watershed Operations,Joshua Rodriguez,2015-04-05,7.2,2026-04-05,"Premium Health Plan, Premium Dental, Basic Vision, 401(k) - 8%"
EMP37857,Christopher Martinez,Engineering Manager,Engineering,None,2021-10-19,23.8,2025-10-19,"Basic Health Plan, Basic Dental, Premium Vision, 401(k) - 7%"
EMP48498,Richard Mitchell,System Administrator,Information Technology,None,2021-11-19,24.2,2025-11-19,"Premium Health Plan, Basic Dental, Premium Vision, 401(k) - 5%"
EMP66670,Christopher Clark,Civil Engineer,Engineering,Christopher Martinez,2014-04-27,24.3,2025-04-27,"Standard Health Plan, Premium Dental, Basic Vision, 401(k) - 8%"
EMP20385,Nancy Anderson,Community Liaison,Community Projects,None,2011-06-07,3.7,2025-06-07,"Standard Health Plan, Premium Dental, Basic Vision, 401(k) - 3%"
EMP56439,Steven Nelson,Water Quality Specialist,Water Supply,Susan Young,2013-06-12,13.9,2025-06-12,"Basic Health Plan, Premium Dental, Premium Vision, 401(k) - 5%"
EMP72309,Kenneth Williams,System Administrator,Information Technology,None,2019-08-29,4.7,2025-08-29,"Basic Health Plan, Basic Dental, Premium Vision"
EMP72435,Sarah Walker,Records Specialist,Administration,None,2020-04-06,16.8,2026-04-06,"Basic Health Plan, Premium Dental, Premium Vision, 401(k) - 4%"
EMP54094,Betty Lee,Employee Relations Manager,Human Resources,Emily Hill,2012-09-22,24.9,2025-09-22,"Basic Health Plan, Premium Dental, Premium Vision, 401(k) - 9%"
EMP97263,George Campbell,Water Resources Engineer,Engineering,Christopher Martinez,2022-05-27,15.8,2025-05-27,"Standard Health Plan, Premium Dental, 401(k) - 3%"
EMP48212,David Harris,Legal Counsel,Legal,None,2021-01-23,8.0,2026-01-23,"Standard Health Plan, Premium Dental, Basic Vision"
